"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1988,1989,1051,-1491,-441,"2870.0",34,"G. MARKL","","WGMS (1993): FoG 1985-1990 (Vol. VI).","Data compiled by Atsumu Ohmura: provided by ZAMG.","CEU"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1989,1990,1157,-1583,-426,"2900.0",32,"G. MARKL","","WGMS (1993): FoG 1985-1990 (Vol. VI).","Data compiled by Atsumu Ohmura: provided by ZAMG.","CEU"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1990,1991,780,-2220,-1439,"3200.0",10,"","","Data from Dyurgerov, M.(2002): [30, 6, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!","","CEU"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1991,1992,1450,-2680,-1230,"3160.0",7,"","","Data from Dyurgerov, M.(2002): [30, 6, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!","","CEU"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1992,1993,1280,-1650,-370,"2860.0",44,"","","Data from Dyurgerov, M.(2002): [30, 6, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!","","CEU"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1993,1994,1300,-2120,-830,"3150.0",18,"","","Data from Dyurgerov, M.(2002): [30, 6, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!","","CEU"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1994,1995,1430,-1590,-150,"2820.0",63,"","","Data from Dyurgerov, M.(2002): [30, 6, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!","","CEU"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1995,1996,NA,NA,-550,"2900.0",34,"G. MARKL, M. Kuhn, N. Span, INSTITUTE OF METEOROLO","TIROLER LANDESREGIERUNG, HYDROGRAPHISCHER DIENST","WGMS (2005): FoG 1995-2000 (Vol. VIII).","","CEU"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1996,1997,NA,NA,-217,"2800.0",56,"G. MARKL, M. Kuhn, N. Span, INSTITUTE OF METEOROLO","TIROLER LANDESREGIERUNG, HYDROGRAPHISCHER DIENST","WGMS (2005): FoG 1995-2000 (Vol. VIII).","","CEU"
"AT","JAMTAL F.",480,46.85805,10.15564,"Central Europe","Alps",1997,1998,NA,NA,-1319,"3120.0",9,"G. MARKL, M. Kuhn, N. Span, INSTITUTE OF METEOROLO","TIROLER LANDESREGIERUNG, HYDROGRAPHISCHER DIENST","WGMS (2005): FoG 1995-2000 (Vol. VIII).","AC_AREA, AB_AREA corrected according to AAR from Data from Dyurgerov, M.(2002): [30, 6, 69, 75, 75a, 96].","CEU"
