"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1985,1986,1230,-1770,-540,"1444.0",2,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1986,1987,1070,-1330,-260,"1414.0",12,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1987,1988,1130,-1040,-910,">1526.0",0,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1988,1989,NA,NA,890,"1150.0",100,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1989,1990,1410,-1200,210,"1300.0",82,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1990,1991,NA,NA,80,"1350.0",60,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1991,1992,2120,-1533,586,"1130.0",82,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1992,1993,2180,-1830,350,"1300.0",87,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1993,1994,1003,-1298,-295,"1410.0",26,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1994,1995,1452,-1199,253,"1287.0",85,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1995,1996,1400,-1450,-60,"1346.0",59,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1996,1997,1700,-2680,-980,">1460.0",0,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1997,1998,NA,NA,-840,"1460.0",5,"","","Data from Dyurgerov, M.(2002): [6, 69, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M. (2002): AAR = 23 [6, 69, 92, 93, 75a] For detailed references consult Dyurgerov's Appendix 1!","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1998,1999,917,-1718,-801,"1460.0",5,"Per Holmlund","Department of Physical Geography and Quaternary Geology, Stockholm University, S-106 91 Stockholm, S","WGMS (2005): FoG 1995-2000 (Vol. VIII).","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",1999,2000,1411,-1723,-312,"1394.0",37,"Per Holmlund","Department of Physical Geography and Quaternary Geology, Stockholm University, S-106 91 Stockholm, S","WGMS (2005): FoG 1995-2000 (Vol. VIII).","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",2000,2001,590,-2320,-1730,"",NA,"","","WGMS (2008): FoG 2000-2005 (Vol. IX).","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",2001,2002,1390,-3220,-1830,">1460.0",0,"","","WGMS (2005): GMBB No. 8 (2002-2003). WGMS (2008): FoG 2000-2005 (Vol. IX).","ELA > 1460.","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",2002,2003,1230,-3010,-1780,">1460.0",0,"","","WGMS (2005): GMBB No. 8 (2002-2003). WGMS (2008): FoG 2000-2005 (Vol. IX).","ELA > 1460.","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",2004,2005,1330,-1680,-350,"",NA,"","","WGMS (2008): FoG 2000-2005 (Vol. IX).","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",2005,2006,810,-2210,-1400,"1450.0",0,"Peter Jansson","","WGMS (2009): GMBB No. 10 (2006-2007). WGMS (2012): FoG 2005-2010 (Vol. X).","","SCA"
"SE","RIUKOJIETNA",342,68.0836,18.0544,"Scandinavia","Scandinavia, North",2006,2007,1260,-2220,-960,"1440.0",0,"Peter Jansson","","WGMS (2009): GMBB No. 10 (2006-2007). WGMS (2012): FoG 2005-2010 (Vol. X).","","SCA"
