"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1961,1962,2115,181,2296,"1295.0",92,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Østrem, G. og V. Karlén (1961): Nigardsbreens hydrologi. Særtrykk av Norsk Geografisk Tidsskrift, Bind XVIII, Hefte 3-4, 1961","Homogenized. BEGIN_PERIOD corrected from \"19000100\".","SCA"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1962,1963,1783,-1957,-173,"1550.0",66,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Østrem, G og O. Liestoel (1964): Glas. unders. i Norge 1963. Norsk Polarinstitutt Meddelelser nr. 90.","Homogenized","SCA"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1963,1964,1970,-1184,786,"1460.0",81,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Pytte, R og G. Østrem, G (Red) (1965): Glasio-hydrologiske undersøkelser i Norge 1964. NVE Meddelelse nr. 14.","Homogenized","SCA"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1964,1965,1932,-1155,776,"1410.0",87,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Pytte, R og O. Liestoel (1966): Glasio-hydrologiske undersøkelser i Norge 1965. NVE Rap..","Homogenized","SCA"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1965,1966,1751,-2671,-920,"1695.0",30,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Pytte, R. (1967): Glasio-hydrologiske undersøkelser i Norge 1966. NVE Rap. 2-1967.","Homogenized","SCA"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1966,1967,2997,-1173,1823,"1330.0",91,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Østrem, G og R. Pytte (1968): Glas. unders. i Norge 1967. NVE Rap. 4-1968.","Homogenized","SCA"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1967,1968,2506,-2388,117,"1555.0",65,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Pytte, R (Red.) (1969): Glas. unders. i Norge 1968. NVE Rap. 5-1969.","Homogenized","SCA"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1968,1969,1686,-3135,-1449,"1890.0",1,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Pytte, R (Red.) (1970): Glas. unders. i Norge 1969. NVE Rap. 5-1970.","Homogenized","SCA"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1969,1970,1665,-2297,-631,"1655.0",41,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Tvede, A.M. (Red.) (1971): Glas. unders. i Norge 1970. NVE Rap. 2-1971.","Homogenized","SCA"
"NO","NIGARDSBREEN",290,61.72,7.13,"Scandinavia","Scandinavia South West",1970,1971,2166,-1312,853,"1425.0",85,"Glacier group/Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (2016): Reanalysing a glacier mb series - Nigardsbreen 1962-2013. NVE Rap. 30-2016. Tvede, A.M. (Red.) (1973): Glas. unders. i Norge 1971. NVE Rap. 2-1973.","Homogenized","SCA"
